[2026-02-21T10:41:56Z] Watchdog gestartet (interval=60s)
[2026-02-21T10:41:56Z] Monitor nicht aktiv -> starte neu
Started Phase 1 monitor
- PID: 24908
- Log: logs/phase1_monitor_20260221T104156Z.log
- CSV: oracle_lag_log.csv
[2026-02-22T05:26:08Z] status=RUNNING rows=10808 restarts=0 no_growth_cycles=0
[2026-02-22T05:26:08Z] status=RUNNING rows=10808 restarts=0 no_growth_cycles=0
[2026-02-22T05:27:08Z] status=RUNNING rows=10841 restarts=0 no_growth_cycles=0
[2026-02-22T05:27:08Z] status=RUNNING rows=10841 restarts=0 no_growth_cycles=0
[2026-02-22T05:28:08Z] status=RUNNING rows=10874 restarts=0 no_growth_cycles=0
[2026-02-22T05:28:08Z] status=RUNNING rows=10874 restarts=0 no_growth_cycles=0
[2026-02-22T05:29:08Z] status=RUNNING rows=10910 restarts=0 no_growth_cycles=0
[2026-02-22T05:29:08Z] status=RUNNING rows=10910 restarts=0 no_growth_cycles=0
[2026-02-22T05:30:08Z] status=RUNNING rows=10943 restarts=0 no_growth_cycles=0
[2026-02-22T05:30:08Z] status=RUNNING rows=10943 restarts=0 no_growth_cycles=0
[2026-02-22T05:31:08Z] status=RUNNING rows=10976 restarts=0 no_growth_cycles=0
[2026-02-22T05:31:08Z] status=RUNNING rows=10976 restarts=0 no_growth_cycles=0
[2026-02-22T05:32:08Z] status=RUNNING rows=11012 restarts=0 no_growth_cycles=0
[2026-02-22T05:32:08Z] status=RUNNING rows=11012 restarts=0 no_growth_cycles=0
[2026-02-22T05:33:08Z] status=RUNNING rows=11045 restarts=0 no_growth_cycles=0
[2026-02-22T05:33:08Z] status=RUNNING rows=11045 restarts=0 no_growth_cycles=0
[2026-02-22T05:34:08Z] status=RUNNING rows=11078 restarts=0 no_growth_cycles=0
[2026-02-22T05:34:08Z] status=RUNNING rows=11078 restarts=0 no_growth_cycles=0
[2026-02-22T05:35:08Z] status=RUNNING rows=11113 restarts=0 no_growth_cycles=0
[2026-02-22T05:35:08Z] status=RUNNING rows=11113 restarts=0 no_growth_cycles=0
[2026-02-22T05:36:08Z] status=RUNNING rows=11147 restarts=0 no_growth_cycles=0
[2026-02-22T05:36:08Z] status=RUNNING rows=11147 restarts=0 no_growth_cycles=0
[2026-02-22T05:37:08Z] status=RUNNING rows=11182 restarts=0 no_growth_cycles=0
[2026-02-22T05:37:08Z] status=RUNNING rows=11182 restarts=0 no_growth_cycles=0
[2026-02-22T05:38:08Z] status=RUNNING rows=11215 restarts=0 no_growth_cycles=0
[2026-02-22T05:38:08Z] status=RUNNING rows=11215 restarts=0 no_growth_cycles=0
[2026-02-22T05:39:08Z] status=RUNNING rows=11249 restarts=0 no_growth_cycles=0
[2026-02-22T05:39:08Z] status=RUNNING rows=11249 restarts=0 no_growth_cycles=0
[2026-02-22T05:40:08Z] status=RUNNING rows=11284 restarts=0 no_growth_cycles=0
[2026-02-22T05:40:08Z] status=RUNNING rows=11284 restarts=0 no_growth_cycles=0
[2026-02-22T05:41:08Z] status=RUNNING rows=11317 restarts=0 no_growth_cycles=0
[2026-02-22T05:41:08Z] status=RUNNING rows=11317 restarts=0 no_growth_cycles=0
[2026-02-22T05:42:08Z] status=RUNNING rows=11351 restarts=0 no_growth_cycles=0
[2026-02-22T05:42:08Z] status=RUNNING rows=11351 restarts=0 no_growth_cycles=0
[2026-02-22T05:43:08Z] status=RUNNING rows=11386 restarts=0 no_growth_cycles=0
[2026-02-22T05:43:08Z] status=RUNNING rows=11386 restarts=0 no_growth_cycles=0
[2026-02-22T05:44:08Z] status=RUNNING rows=11419 restarts=0 no_growth_cycles=0
[2026-02-22T05:44:08Z] status=RUNNING rows=11419 restarts=0 no_growth_cycles=0
[2026-02-22T05:45:09Z] status=RUNNING rows=11453 restarts=0 no_growth_cycles=0
